Report Date/Time: 11/03/2014 02:52 PM,,,,,Revised to Reflect Precinct Adjustment to LD 4 & LD 13,,,,,,,,Page Number 1,
,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,
,,,,,,,"2014 General Election - November 4, 2014",,,,,,,
,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,
,,,,,,ACTIVE,,,,,,,,
,,Precincts,Date/Period,,,,,,,,,Other,TOTAL,
,,,,Americans ,,,,Democratic,Green,Libertarian,Republican,,,
,,,,,,11,,,,"30,230",798,"23,576",,
,,,Maricopa,,46,,,,,,,,"37,898","92,513"
,,,,,,17,,,,"58,174","1,058","23,609",,
,,,Pima,,77,,,,,,,,"43,781","126,639"
,,,,,,0,,,,128,0,12,,
,,,Pinal,,1,,,,,,,,53,193
,,,,,,0,,,,"11,385",124,"3,661",,
,,,Santa Cruz,,24,,,,,,,,"7,499","22,669"
,,,,,,2,,,,"19,027",309,"10,147",,
,,,Yuma,,29,,,,,,,,"18,113","47,598"
,,,,,177,,,,,,,,"107,344","289,612"
,,,,TOTALS,,30,,,,"118,944","2,289","61,005",,
,,Congressional District 4,,,,,,,,,,,,
,,,,,,1,,,,"3,164",109,"8,467",,
,,,Gila,,17,,,,,,,,"4,803","16,544"
,,,,,,1,,,,"2,228",39,"3,289",,
,,,La Paz,,11,,,,,,,,"3,504","9,061"
,,,,,,6,,,,"4,186",162,"9,797",,
,,,Maricopa,,18,,,,,,,,"7,813","21,964"
,,,,,,14,,,,"22,786",663,"46,509",,
,,,Mohave,,71,,,,,,,,"46,910","116,882"
,,,,,,10,,,,"15,654",554,"26,149",,
,,,Pinal,,41,,,,,,,,"30,115","72,482"
,,,,,,9,,,,"20,237",792,"47,443",,
,,,Yavapai,,38,,,,,,,,"37,101","105,582"
,,,,,,4,,,,"6,569",203,"11,949",,
,,,Yuma,,15,,,,,,,,"10,654","29,379"
,,,,,211,,,,,,,,"140,900","371,894"
,,,,TOTALS,,45,,,,"74,824","2,522","153,603",,
,,Congressional District 5,,,,,,,,,,,,
,,,,,,69,,,,"81,979","3,237","176,898",,
,,,Maricopa,,113,,,,,,,,"143,417","405,600"
,,,,,113,,,,,,,,"143,417","405,600"
,,,,TOTALS,,69,,,,"81,979","3,237","176,898",,
,,Congressional District 6,,,,,,,,,,,,
,,,,,,61,,,,"94,708","3,513","167,806",,
,,,Maricopa,,156,,,,,,,,"147,603","413,691"
,,,,,156,,,,,,,,"147,603","413,691"
,,,,TOTALS,,61,,,,"94,708","3,513","167,806",,
,,Congressional District 7,,,,,,,,,,,,
,,,,,,31,,,,"102,189","2,602","38,695",,
,,,Maricopa,,105,,,,,,,,"95,372","238,889"
,,,,,105,,,,,,,,"95,372","238,889"
,,,,TOTALS,,31,,,,"102,189","2,602","38,695",,
,,Congressional District 8,,,,,,,,,,,,
,,,,,,57,,,,"93,987","2,858","160,373",,
,,,Maricopa,,142,,,,,,,,"140,424","397,699"
,,,,,142,,,,,,,,"140,424","397,699"
,,,,TOTALS,,57,,,,"93,987","2,858","160,373",,
,,Congressional District 9,,,,,,,,,,,,
,,,,,,63,,,,"107,645","4,025","117,643",,
,,,Maricopa,,141,,,,,,,,"135,063","364,439"
,,,,,141,,,,,,,,"135,063","364,439"
,,,,TOTALS,,63,,,,"107,645","4,025","117,643",,
,,,,STATE TOTALS,,433,,,,"936,417","26,589","1,114,713",,
,,,,,"1,566",,,,,,,,"1,157,811","3,235,963"
Report Date/Time: 11/03/2014 02:52 PM,,,,,,,Revised to Reflect Precinct Adjustment to LD 4 & LD 13,,,,,,,Page Number 3
,,,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,
,,,,,,,,,"2014 General Election - November 4, 2014",,,,,
,,,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
,,,,,,,,ACTIVE,,,,,,
,Legislative,,,,Precincts,,,,,,,,Other,TOTAL
,,,,,,Americans Elect,,,,Democratic,Libertarian,Republican,,
,,Legislative District 1,,,,,,,,,,,,
,,,,,,6,,,,"6,799",321,"18,609",,
,,,Maricopa,,14,,,,,,,,"14,190","39,925"
,,,,,,7,,,,"16,184",699,"41,223",,
,,,Yavapai,,35,,,,,,,,"30,409","88,522"
,,,,,49,,,,,,,,"44,599","128,447"
,,,,TOTALS,,13,,,,"22,983","1,020","59,832",,
,,Legislative District 2,,,,,,,,,,,,
,,,,,,13,,,,"24,211",449,"17,811",,
,,,Pima,,33,,,,,,,,"23,545","66,029"
,,,,,,0,,,,"11,385",124,"3,661",,
,,,Santa Cruz,,24,,,,,,,,"7,499","22,669"
,,,,,57,,,,,,,,"31,044","88,698"
,,,,TOTALS,,13,,,,"35,596",573,"21,472",,
,,Legislative District 3,,,,,,,,,,,,
,,,,,,12,,,,"40,058",762,"15,194",,
,,,Pima,,41,,,,,,,,"29,315","85,341"
,,,,,41,,,,,,,,"29,315","85,341"
,,,,TOTALS,,12,,,,"40,058",762,"15,194",,
,,Legislative District 4,,,,,,,,,,,,
,,,,,,5,,,,"7,053",209,"8,512",,
,,,Maricopa,,18,,,,,,,,"10,256","26,035"
,,,,,,2,,,,"6,730",79,"2,178",,
,,,Pima,,17,,,,,,,,"4,626","13,615"
,,,,,,0,,,,128,0,12,,
,,,Pinal,,1,,,,,,,,53,193
,,,,,,2,,,,"16,998",253,"7,793",,
,,,Yuma,,23,,,,,,,,"15,486","40,532"
,,,,,59,,,,,,,,"30,421","80,375"
,,,,TOTALS,,9,,,,"30,909",541,"18,495",,
,,Legislative District 5,,,,,,,,,,,,
,,,,,,1,,,,"2,228",39,"3,289",,
,,,La Paz,,11,,,,,,,,"3,504","9,061"
,,,,,,14,,,,"22,786",663,"46,509",,
,,,Mohave,,71,,,,,,,,"46,910","116,882"
,,,,,82,,,,,,,,"50,414","125,943"
,,,,TOTALS,,15,,,,"25,014",702,"49,798",,
,,Legislative District 6,,,,,,,,,,,,
,,,,,,5,,,,"15,461",574,"13,778",,
,,,Coconino,,45,,,,,,,,"19,405","49,223"
,,,,,,1,,,,"3,211",109,"8,558",,
,,,Gila,,18,,,,,,,,"4,862","16,741"
,,,,,,2,,,,"2,899",82,"7,637",,
,,,Navajo,,16,,,,,,,,"3,533","14,153"
,,,,,,3,,,,"8,492",245,"12,289",,
,,,Yavapai,,10,,,,,,,,"13,750","34,779"
,,,,,89,,,,,,,,"41,550","114,896"
,,,,TOTALS,,11,,,,"30,063","1,010","42,262",,
,,Legislative District 7,,,,,,,,,,,,
,,,,,,4,,,,"26,351",148,"7,267",,
,,,Apache,,45,,,,,,,,"12,411","46,181"
,,,,,,0,,,,"10,594",202,"4,085",,
,,,Coconino,,26,,,,,,,,"6,615","21,496"
,,,,,,0,,,,"2,128",9,203,,
,,,Gila,,3,,,,,,,,"1,078","3,418"
,,,,,,0,,,,"1,445",3,199,,
,,,Graham,,2,,,,,,,,657,"2,304"
,,,,,,0,,,,286,1,124,,
,,,Mohave,,2,,,,,,,,304,715
,,,,,,6,,,,"20,080",284,"9,886",,
,,,Navajo,,45,,,,,,,,"12,316","42,572"
,,,,,,0,,,,0,0,0,,
,,,Pinal,,1,,,,,,,,0,0
,,,,,124,,,,,,,,"33,381","116,686"
,,,,TOTALS,,10,,,,"60,884",647,"21,764",,
,,Legislative District 8,,,,,,,,,,,,
